Desc	Family ID	Hleu	Lpic	Lvar	Mglob	Pliv	Spurp_prefixed
(null)	OG0000237	3	8	1	4	11	35
(null)	OG0000238	0	62	0	0	0	0
(null)	OG0000239	1	33	12	1	1	13
(null)	OG0000240	15	12	13	8	5	8
(null)	OG0000241	6	12	12	11	7	13
(null)	OG0000242	4	4	2	1	9	41
(null)	OG0000243	0	16	20	3	6	16
(null)	OG0000244	37	11	0	2	1	9
(null)	OG0000245	3	9	6	24	7	11
(null)	OG0000246	13	10	9	9	5	14
(null)	OG0000247	8	16	17	7	4	8
(null)	OG0000248	3	18	10	13	5	11
(null)	OG0000249	2	13	13	6	4	22
(null)	OG0000250	4	8	4	6	9	29
(null)	OG0000251	0	11	4	6	22	17
(null)	OG0000252	35	3	3	1	16	1
(null)	OG0000253	6	5	24	6	3	15
(null)	OG0000254	14	11	12	7	8	7
(null)	OG0000255	1	15	10	9	11	13
(null)	OG0000256	0	13	46	0	0	0
(null)	OG0000257	8	12	18	7	5	8
(null)	OG0000258	7	9	11	8	8	15
(null)	OG0000259	1	38	8	2	1	8
(null)	OG0000260	11	2	3	5	26	11
(null)	OG0000261	3	11	4	1	39	0
(null)	OG0000262	1	12	10	6	11	18
(null)	OG0000263	0	8	6	1	39	4
(null)	OG0000264	0	8	5	2	40	3
(null)	OG0000265	0	14	10	5	5	24
(null)	OG0000266	0	2	7	7	2	40
(null)	OG0000267	4	8	13	7	12	13
(null)	OG0000268	1	34	14	1	1	6
(null)	OG0000269	1	16	18	1	1	20
(null)	OG0000270	1	1	50	1	2	2
(null)	OG0000271	0	14	12	16	10	5
(null)	OG0000272	0	50	3	0	3	1
(null)	OG0000273	26	1	8	2	13	6
(null)	OG0000274	5	14	10	4	6	17
(null)	OG0000275	14	8	10	7	7	10
(null)	OG0000276	0	13	15	6	7	15
(null)	OG0000277	0	3	44	0	5	4
(null)	OG0000278	35	4	6	1	3	6
(null)	OG0000279	5	9	16	11	7	7
(null)	OG0000280	24	0	0	2	3	26
(null)	OG0000281	4	8	17	7	7	12
(null)	OG0000282	11	9	11	9	7	8
(null)	OG0000283	42	1	2	2	6	1
(null)	OG0000284	7	8	9	7	11	12
(null)	OG0000285	19	5	7	4	9	9
(null)	OG0000286	11	1	9	5	7	20
(null)	OG0000287	7	7	8	6	5	20
(null)	OG0000288	0	14	15	14	5	5
(null)	OG0000289	0	0	0	2	1	50
(null)	OG0000290	35	3	1	1	2	10
(null)	OG0000291	25	8	10	4	2	3
(null)	OG0000292	47	1	1	1	1	1
(null)	OG0000293	23	5	9	2	3	10
(null)	OG0000294	16	17	0	1	6	12
(null)	OG0000295	50	0	0	0	2	0
(null)	OG0000296	15	6	12	8	4	7
(null)	OG0000297	8	7	13	5	7	12
(null)	OG0000298	1	24	14	1	2	10
(null)	OG0000299	0	9	6	0	10	27
(null)	OG0000300	0	10	19	5	2	16
(null)	OG0000301	0	0	0	5	47	0
(null)	OG0000302	8	10	8	7	8	10
(null)	OG0000303	49	0	0	1	1	0
(null)	OG0000304	6	4	7	5	4	25
(null)	OG0000305	22	1	2	9	14	3
(null)	OG0000306	3	10	10	7	11	10
(null)	OG0000307	3	13	10	6	6	13
(null)	OG0000308	0	18	14	3	6	10
(null)	OG0000309	50	0	0	0	0	0
(null)	OG0000310	44	1	1	0	2	2
(null)	OG0000311	49	0	0	0	1	0
(null)	OG0000312	5	0	15	0	1	29
(null)	OG0000313	3	5	8	1	26	7
(null)	OG0000314	23	8	1	3	7	8
(null)	OG0000315	22	6	4	9	7	2
(null)	OG0000316	5	8	9	7	9	12
(null)	OG0000317	6	10	10	8	6	10
(null)	OG0000318	6	6	15	7	7	9
(null)	OG0000319	1	4	6	9	13	17
(null)	OG0000320	2	7	11	7	8	15
(null)	OG0000321	7	7	9	7	7	13
(null)	OG0000322	6	4	16	0	5	19
(null)	OG0000323	1	27	10	1	1	10
(null)	OG0000324	1	8	10	18	9	4
(null)	OG0000325	0	20	19	1	1	9
(null)	OG0000326	0	9	10	3	24	4
